Variant,Filename,Format,CanvasWidth,CanvasHeight,EllipseWidth,EllipseHeight,ClearSpaceX,ClearSpaceY,StrokePx,Notes
Primary Blue BG,ALAIN_logo_primary_blue-bg.svg,SVG,1500,800,1400,600,0,0,0,Blue rectangle background #0058A3 with yellow wordmark
Primary Blue BG,ALAIN_logo_primary_blue-bg.pdf,PDF,1500,800,1400,600,0,0,0,Outline text for print
Primary Blue BG,ALAIN_logo_primary_blue-bg_320.png,PNG,320,171,300,129,0,0,0,Raster export for web @1x
Primary Blue BG,ALAIN_logo_primary_blue-bg_640.png,PNG,640,342,600,258,0,0,0,Raster export for web @2x
Primary Blue BG,ALAIN_logo_primary_blue-bg_1280.png,PNG,1280,684,1200,516,0,0,0,Raster export for web @4x
Primary Blue BG,ALAIN_logo_primary_blue-bg_32.ico,ICO,32,18,30,13,0,0,0,Favicon 32 px
Primary Blue BG,ALAIN_logo_primary_blue-bg_48.ico,ICO,48,27,45,19,0,0,0,Favicon 48 px
Primary Yellow BG,ALAIN_logo_primary_yellow-bg.svg,SVG,1500,800,1400,600,0,0,0,Yellow field with blue wordmark
Primary Yellow BG,ALAIN_logo_primary_yellow-bg.pdf,PDF,1500,800,1400,600,0,0,0,Outline text for print
Primary Yellow BG,ALAIN_logo_primary_yellow-bg_320.png,PNG,320,171,300,129,0,0,0,Raster export @1x
Primary Yellow BG,ALAIN_logo_primary_yellow-bg_640.png,PNG,640,342,600,258,0,0,0,Raster export @2x
Primary Yellow BG,ALAIN_logo_primary_yellow-bg_1280.png,PNG,1280,684,1200,516,0,0,0,Raster export @4x
Inverse White BG,ALAIN_logo_inverse_white-bg.svg,SVG,1500,800,1400,600,0,0,0,Inverse on light BG
Inverse White BG,ALAIN_logo_inverse_white-bg.pdf,PDF,1500,800,1400,600,0,0,0,Outline text for print
Inverse White BG,ALAIN_logo_inverse_white-bg_320.png,PNG,320,171,300,129,0,0,0,@1x
Inverse White BG,ALAIN_logo_inverse_white-bg_640.png,PNG,640,342,600,258,0,0,0,@2x
Inverse White BG,ALAIN_logo_inverse_white-bg_1280.png,PNG,1280,684,1200,516,0,0,0,@4x
Inverse White BG,ALAIN_logo_inverse_white-bg_32.ico,ICO,32,18,30,13,0,0,0,Favicon 32 px
Inverse White BG,ALAIN_logo_inverse_white-bg_48.ico,ICO,48,27,45,19,0,0,0,Favicon 48 px
Inverse Black BG,ALAIN_logo_inverse_black-bg.svg,SVG,1500,800,1400,600,0,0,0,Inverse on dark BG
Inverse Black BG,ALAIN_logo_inverse_black-bg.pdf,PDF,1500,800,1400,600,0,0,0,Outline text for print
Inverse Black BG,ALAIN_logo_inverse_black-bg_320.png,PNG,320,171,300,129,0,0,0,@1x
Inverse Black BG,ALAIN_logo_inverse_black-bg_640.png,PNG,640,342,600,258,0,0,0,@2x
Inverse Black BG,ALAIN_logo_inverse_black-bg_1280.png,PNG,1280,684,1200,516,0,0,0,@4x
Alt Yellow Ellipse,ALAIN_logo_alt_yellow-ellipse_blue-text.svg,SVG,1500,800,1400,600,0,0,12,Portable ellipse only, blue text, add stroke on busy photos
Alt Yellow Ellipse,ALAIN_logo_alt_yellow-ellipse_blue-text.pdf,PDF,1500,800,1400,600,0,0,12,Outline text for print
Alt Yellow Ellipse,ALAIN_logo_alt_yellow-ellipse_blue-text_320.png,PNG,320,171,300,129,0,0,12,@1x
Alt Yellow Ellipse,ALAIN_logo_alt_yellow-ellipse_blue-text_640.png,PNG,640,342,600,258,0,0,12,@2x
Alt Yellow Ellipse,ALAIN_logo_alt_yellow-ellipse_blue-text_1280.png,PNG,1280,684,1200,516,0,0,12,@4x
Alt Blue Ellipse,ALAIN_logo_alt_yellow-text_blue-ellipse.svg,SVG,1500,800,1400,600,0,0,0,Blue ellipse with yellow text
Alt Blue Ellipse,ALAIN_logo_alt_yellow-text_blue-ellipse.pdf,PDF,1500,800,1400,600,0,0,0,Outline text for print
Alt Blue Ellipse,ALAIN_logo_alt_yellow-text_blue-ellipse_320.png,PNG,320,171,300,129,0,0,0,@1x
Alt Blue Ellipse,ALAIN_logo_alt_yellow-text_blue-ellipse_640.png,PNG,640,342,600,258,0,0,0,@2x
Alt Blue Ellipse,ALAIN_logo_alt_yellow-text_blue-ellipse_1280.png,PNG,1280,684,1200,516,0,0,0,@4x
Darkmode Blue Outline,ALAIN_logo_darkmode_blue-outline.svg,SVG,1500,800,1400,600,0,0,12,Subtle outline mark for dark UI
Darkmode Blue Outline,ALAIN_logo_darkmode_blue-outline.pdf,PDF,1500,800,1400,600,0,0,12,Outline text for print
Darkmode Blue Outline,ALAIN_logo_darkmode_blue-outline_320.png,PNG,320,171,300,129,0,0,12,@1x
Darkmode Blue Outline,ALAIN_logo_darkmode_blue-outline_640.png,PNG,640,342,600,258,0,0,12,@2x
Darkmode Blue Outline,ALAIN_logo_darkmode_blue-outline_1280.png,PNG,1280,684,1200,516,0,0,12,@4x
Darkmode White BG,ALAIN_logo_darkmode_white-bg.svg,SVG,1500,800,1400,600,0,0,0,High-contrast white label
Darkmode White BG,ALAIN_logo_darkmode_white-bg.pdf,PDF,1500,800,1400,600,0,0,0,Outline text for print
Darkmode White BG,ALAIN_logo_darkmode_white-bg_320.png,PNG,320,171,300,129,0,0,0,@1x
Darkmode White BG,ALAIN_logo_darkmode_white-bg_640.png,PNG,640,342,600,258,0,0,0,@2x
Darkmode White BG,ALAIN_logo_darkmode_white-bg_1280.png,PNG,1280,684,1200,516,0,0,0,@4x
Clear-Space Safe (1400×600 ellipse),ALAIN_logo_portable_clearspace.svg,SVG,1848,792,1400,600,224,96,12,Canvas hugs ellipse plus 16% clear space x and y
Clear-Space Safe (1400×600 ellipse),ALAIN_logo_portable_clearspace_320.png,PNG,422,181,320,137,51,22,12,Scaled clear-space-safe @1x
